 Nascidos vivos - Brasil
Nascim p/resid.mãe por Unidade da Federação e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos
Período:2016
"Unidade da Federação";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"Total"
"11 Rondônia";-;249;5086;5335
"12 Acre";-;305;3813;4118
"13 Amazonas";-;1302;18134;19436
"14 Roraima";-;235;2576;2811
"15 Pará";-;2178;33254;35432
"16 Amapá";-;211;3623;3834
"17 Tocantins";-;300;4936;5236
"21 Maranhão";1;1634;26523;28158
"22 Piauí";-;576;9554;10130
"23 Ceará";2;1336;22698;24036
"24 Rio Grande do Norte";-;478;8258;8736
"25 Paraíba";-;581;10098;10679
"26 Pernambuco";-;1298;25751;27049
"27 Alagoas";-;739;11657;12396
"28 Sergipe";-;379;6413;6792
"29 Bahia";-;2192;37663;39855
"31 Minas Gerais";-;1401;35660;37061
"32 Espírito Santo";-;418;8191;8609
"33 Rio de Janeiro";-;1558;34813;36371
"35 São Paulo";1;2690;76607;79298
"41 Paraná";-;943;23063;24006
"42 Santa Catarina";-;451;12051;12502
"43 Rio Grande do Sul";-;765;18968;19733
"50 Mato Grosso do Sul";-;463;7613;8076
"51 Mato Grosso";-;544;9504;10048
"52 Goiás";-;738;15751;16489
"53 Distrito Federal";-;171;4988;5159
"00 Ignorado/exterior";-;-;-;-
"Total";4;24135;477246;501385
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
