 Nascidos vivos - Brasil
Nascim p/resid.mãe por Unidade da Federação e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos
Período:2021
"Unidade da Federação";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"Total"
"11 Rondônia";-;178;3817;3995
"12 Acre";-;258;3413;3671
"13 Amazonas";-;1188;16570;17758
"14 Roraima";-;207;2729;2936
"15 Pará";1;1783;28177;29961
"16 Amapá";-;181;2909;3090
"17 Tocantins";-;262;4045;4307
"21 Maranhão";-;1429;22182;23611
"22 Piauí";-;400;7509;7909
"23 Ceará";-;960;15628;16588
"24 Rio Grande do Norte";-;316;5707;6023
"25 Paraíba";-;385;8456;8841
"26 Pernambuco";-;1000;19436;20436
"27 Alagoas";-;547;8997;9544
"28 Sergipe";-;279;4628;4907
"29 Bahia";1;1564;27071;28636
"31 Minas Gerais";-;908;25653;26561
"32 Espírito Santo";-;300;6186;6486
"33 Rio de Janeiro";-;982;22411;23393
"35 São Paulo";-;1661;47430;49091
"41 Paraná";-;604;15186;15790
"42 Santa Catarina";-;258;8530;8788
"43 Rio Grande do Sul";-;427;11516;11943
"50 Mato Grosso do Sul";-;327;5978;6305
"51 Mato Grosso";-;491;8524;9015
"52 Goiás";-;452;11376;11828
"53 Distrito Federal";-;109;3214;3323
"00 Ignorado/exterior";-;-;-;-
"Total";2;17456;347278;364736
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
