 Nascidos vivos - Brasil
Nascim p/resid.mãe por Unidade da Federação e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos
Período:2019
"Unidade da Federação";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"Total"
"11 Rondônia";-;198;4360;4558
"12 Acre";-;243;3658;3901
"13 Amazonas";-;1248;17311;18559
"14 Roraima";-;193;3017;3210
"15 Pará";2;1816;29504;31322
"16 Amapá";-;173;3086;3259
"17 Tocantins";-;241;4353;4594
"21 Maranhão";-;1405;24339;25744
"22 Piauí";-;417;8384;8801
"23 Ceará";-;1012;18731;19743
"24 Rio Grande do Norte";-;376;6522;6898
"25 Paraíba";-;473;8978;9451
"26 Pernambuco";-;1091;21886;22977
"27 Alagoas";-;606;10030;10636
"28 Sergipe";-;316;5349;5665
"29 Bahia";-;1808;31845;33653
"31 Minas Gerais";-;1149;30123;31272
"32 Espírito Santo";-;281;6985;7266
"33 Rio de Janeiro";-;1245;27571;28816
"35 São Paulo";-;1961;58837;60798
"41 Paraná";-;714;18167;18881
"42 Santa Catarina";1;308;9845;10154
"43 Rio Grande do Sul";-;503;14428;14931
"50 Mato Grosso do Sul";-;372;6696;7068
"51 Mato Grosso";-;491;8916;9407
"52 Goiás";-;530;12800;13330
"53 Distrito Federal";-;160;4201;4361
"00 Ignorado/exterior";-;-;-;-
"Total";3;19330;399922;419255
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
