 Nascidos vivos - Brasil
Nascim p/resid.mãe por Unidade da Federação e Idade da mãe
Período:2021
"Unidade da Federação";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"Idade ignorada";"Total"
"11 Rondônia";-;178;3817;7044;6588;4770;2427;587;24;1;1;1;1;-;25439
"12 Acre";-;258;3413;4170;3340;2478;1543;441;23;1;-;-;-;32;15699
"13 Amazonas";-;1188;16570;22032;17668;11856;6909;2074;138;15;-;-;-;4;78454
"14 Roraima";-;207;2729;4025;3210;2127;1214;365;19;2;2;-;-;1;13901
"15 Pará";1;1783;28177;40141;32174;20801;10921;2927;174;22;3;1;1;3;137129
"16 Amapá";-;181;2909;4049;3282;2522;1546;465;33;1;-;-;-;5;14993
"17 Tocantins";-;262;4045;6293;5791;4352;2373;586;43;2;-;-;-;-;23747
"21 Maranhão";-;1429;22182;31822;24339;17317;9200;2199;156;15;7;1;-;-;108667
"22 Piauí";-;400;7509;12043;10790;8823;5068;1279;62;1;1;-;2;-;45978
"23 Ceará";-;960;15628;29847;30368;24403;14705;4103;242;10;-;-;-;-;120266
"24 Rio Grande do Norte";-;316;5707;10441;10869;9055;5475;1488;78;1;-;-;-;-;43430
"25 Paraíba";-;385;8456;13623;13643;11119;6781;1906;124;10;2;-;-;-;56049
"26 Pernambuco";-;1000;19436;32910;30474;24161;14108;3875;225;21;1;-;-;-;126211
"27 Alagoas";-;547;8997;13810;11523;8095;4607;1158;66;4;-;-;1;-;48808
"28 Sergipe";-;279;4628;7817;7372;6056;3900;1083;70;1;-;-;-;-;31206
"29 Bahia";1;1564;27071;45257;43883;36055;24065;7110;428;23;1;1;-;-;185459
"31 Minas Gerais";-;908;25653;55305;60032;54220;35666;9788;536;25;2;-;1;-;242136
"32 Espírito Santo";-;300;6186;12034;12600;11769;7415;2097;88;4;-;-;-;-;52493
"33 Rio de Janeiro";-;982;22411;47405;46737;38553;25596;7697;457;22;1;-;-;5;189866
"35 São Paulo";-;1661;47430;118171;128892;121181;83008;23523;1268;92;7;1;-;5;525239
"41 Paraná";-;604;15186;33923;36665;31578;18811;4943;251;11;4;-;-;-;141976
"42 Santa Catarina";-;258;8530;22015;25231;22606;13954;3703;186;16;-;-;-;-;96499
"43 Rio Grande do Sul";-;427;11516;28051;30549;28177;19920;5514;276;13;-;-;-;3;124446
"50 Mato Grosso do Sul";-;327;5978;10795;10752;8187;4869;1212;49;3;1;-;-;-;42173
"51 Mato Grosso";-;491;8524;15296;14636;11224;6067;1515;77;7;-;1;1;2;57841
"52 Goiás";-;452;11376;23078;23709;18666;10776;2743;148;9;2;1;-;1;90961
"53 Distrito Federal";-;109;3214;7616;9027;8956;6915;2048;136;12;1;1;-;-;38035
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";2;17456;347278;659013;654144;549107;347839;96429;5377;344;36;8;7;61;2677101
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
