 Nascidos vivos - Brasil
Nascim p/resid.mãe por Unidade da Federação e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos
Período:2014
"Unidade da Federação";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"Total"
"11 Rondônia";-;289;5535;5824
"12 Acre";-;298;4366;4664
"13 Amazonas";-;1448;20271;21719
"14 Roraima";-;205;2662;2867
"15 Pará";-;2315;36823;39138
"16 Amapá";-;278;3984;4262
"17 Tocantins";-;357;5549;5906
"21 Maranhão";-;1784;28177;29961
"22 Piauí";-;524;10031;10555
"23 Ceará";-;1449;25189;26638
"24 Rio Grande do Norte";-;507;9085;9592
"25 Paraíba";-;582;10773;11355
"26 Pernambuco";-;1615;29057;30672
"27 Alagoas";-;860;12807;13667
"28 Sergipe";-;432;6950;7382
"29 Bahia";-;2423;39715;42138
"31 Minas Gerais";1;1640;41123;42764
"32 Espírito Santo";-;476;9525;10001
"33 Rio de Janeiro";-;1980;39816;41796
"35 São Paulo";-;3604;87481;91085
"41 Paraná";-;1327;27316;28643
"42 Santa Catarina";-;602;13434;14036
"43 Rio Grande do Sul";-;938;21510;22448
"50 Mato Grosso do Sul";-;555;8981;9536
"51 Mato Grosso";-;664;10884;11548
"52 Goiás";-;866;17640;18506
"53 Distrito Federal";-;226;5680;5906
"00 Ignorado/exterior";-;-;-;-
"Total";1;28244;534364;562609
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
