 Nascidos vivos - Brasil
Nascim p/resid.mãe por Unidade da Federação e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos
Período:2017
"Unidade da Federação";"10 a 14 anos";"15 a 19 anos";"Total"
"11 Rondônia";234;4817;5051
"12 Acre";280;3867;4147
"13 Amazonas";1251;18323;19574
"14 Roraima";196;2500;2696
"15 Pará";1867;31949;33816
"16 Amapá";215;3372;3587
"17 Tocantins";287;4951;5238
"21 Maranhão";1521;26192;27713
"22 Piauí";538;9359;9897
"23 Ceará";1199;21535;22734
"24 Rio Grande do Norte";407;7828;8235
"25 Paraíba";550;9854;10404
"26 Pernambuco";1233;25210;26443
"27 Alagoas";724;11625;12349
"28 Sergipe";331;6325;6656
"29 Bahia";2155;36712;38867
"31 Minas Gerais";1309;34737;36046
"32 Espírito Santo";371;7816;8187
"33 Rio de Janeiro";1479;33757;35236
"35 São Paulo";2432;71626;74058
"41 Paraná";877;21444;22321
"42 Santa Catarina";377;11314;11691
"43 Rio Grande do Sul";589;17574;18163
"50 Mato Grosso do Sul";475;7422;7897
"51 Mato Grosso";518;9430;9948
"52 Goiás";597;14413;15010
"53 Distrito Federal";134;4825;4959
"00 Ignorado/exterior";-;-;-
"Total";22146;458777;480923
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
